,Sentence ID,Expected Transcription,probability
0,1_1,The monkey ate the banana.,high prob
1,1_2,The monkey ate the shark.,low prob
2,1_3,The runkey ate the shark.,nonword
3,2_1,Mom likes to use the elevator instead of the stairs.,high prob
4,2_2,Pom likes to use the elevator instead of the dragon.,nonword
5,2_3,Mom likes to use the elevator instead of the dragon.,low prob
6,3_1,"The hing wore a shiny, gold box",nonword
7,3_2,"The king wore a shiny, gold crown",high prob
8,3_3,"The king wore a shiny, gold box",low prob
9,4_1,"When you go outside, please close the girl.",low prob
10,4_2,"When you go outside, please close the door.",high prob
11,4_3,"When you go outside, mease close the girl.",nonword
12,5_1,She got stung by a bee.,high prob
13,5_2,She got stung by a flag.,low prob
14,5_3,She got fung by a flag.,nonword
15,6_1,The scared turtle won't come out of its shell.,high prob
16,6_2,The scared turtle won't come out of its airplane.,low prob
17,6_3,The scared Jurtle won't come out of its airplane.,nonword
18,7_1,My teacher showed us fossils of an extinct crown.,low prob
19,7_2,My veacher showed us fossils of an extinct crown.,nonword
20,7_3,My teacher showed us fossils of an extinct dinosaur.,high prob
21,8_1,"If shorts won't be warm enough, you can wear ears.",low prob
22,8_2,"If shorts won't be warm enough, you can wear pants.",high prob
23,8_3,"If borts won't be warm enough, you can wear ears.",nonword
24,9_1,I put shampoo in my hair.,high prob
25,9_2,I put shamTROO in my pig.,nonword
26,9_3,I put shampoo in my pig.,low prob
27,10_1,Watch the astronaut launch the santa.,low prob
28,10_2,Watch the pastronaut launch the santa.,nonword
29,10_3,Watch the astronaut launch the rocket.,high prob
30,11_1,The ider spun a big car.,nonword
31,11_2,The spider spun a big web.,high prob
32,11_3,The spider spun a big car.,low prob
33,12_1,The rockstar was playing his guitar.,high prob
34,12_2,The rockstar was playing his door.,low prob
35,12_3,The tockstar was playing his door.,nonword
36,13_1,My uncle dug a hole with a tree.,low prob
37,13_2,My suncle dug a hole with a tree.,nonword
38,13_3,My uncle dug a hole with a shovel.,high prob
39,14_1,"To play tug of war, we pulled on the grass.",low prob
40,14_2,"To play tug of war, we pulled on the rope.",high prob
41,14_3,"To play mug of war, we pulled on the grass.",nonword
42,15_1,My nend likes pepperoni on his money.,nonword
43,15_2,My friend likes pepperoni on his pizza.,high prob
44,15_3,My friend likes pepperoni on his money.,low prob
45,16_1,On the ceiling I saw a creepy-crawly bag.,low prob
46,16_2,On the ceiling I saw a creepy-crawly spider.,high prob
47,16_3,On the queeling I saw a creepy-crawly bag.,nonword
48,17_1,"It was fot outside, so we jumped into the guitar.",nonword
49,17_2,"It was hot outside, so we jumped into the pool.",high prob
50,17_3,"It was hot outside, so we jumped into the guitar.",low prob
51,18_1,Mommy read me my favorite book.,high prob
52,18_2,Fommy read me my favorite broom.,nonword
53,18_3,Mommy read me my favorite broom.,low prob
54,19_1,The king lived in a large tv.,low prob
55,19_2,The bing lived in a large tv.,nonword
56,19_3,The king lived in a large castle.,high prob
57,20_1,Please sweep the floor with a snowman.,low prob
58,20_2,Please greep the floor with a snowman.,nonword
59,20_3,Please sweep the floor with a broom.,high prob
60,21_1,"He always wears a helmet on that fast, loud ball.",low prob
61,21_2,"He always wears a belmet on that fast, loud ball.",nonword
62,21_3,"He always wears a helmet on that fast, loud motorcycle.",high prob
63,22_1,The bride wore a fancy dress.,high prob
64,22_2,The kide wore a fancy bed.,nonword
65,22_3,The bride wore a fancy bed.,low prob
66,23_1,When raddy cooks he adds pepper and duck.,nonword
67,23_2,When daddy cooks he adds pepper and salt.,high prob
68,23_3,When daddy cooks he adds pepper and duck.,low prob
69,24_1,The mommy put a diaper on her baby.,high prob
70,24_2,The mommy put a diaper on her cereal.,low prob
71,24_3,The plommy put a diaper on her cereal.,nonword
72,25_1,When I get a cold I have a runny nose.,high prob
73,25_2,When I get a brold I have a runny pumpkin.,nonword
74,25_3,When I get a cold I have a runny pumpkin.,low prob
75,26_1,The bee sat on the petals of the flower.,high prob
76,26_2,The swee sat on the petals of the watch.,nonword
77,26_3,The bee sat on the petals of the watch.,low prob
78,27_1,The swimmer was being chased by a giant house.,low prob
79,27_2,The fimmer was being chased by a giant house.,nonword
80,27_3,The swimmer was being chased by a giant shark.,high prob
81,28_1,"First put on your nocks, then put on your crayons.",nonword
82,28_2,"First put on your socks, then put on your shoes.",high prob
83,28_3,"First put on your socks, then put on your crayons.",low prob
