,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,participant_id,Sentence ID,Iteration,probability,Expected Transcription,large,base,medium,small,tiny,preproc_exp_transc,large_preproc,base_preproc,medium_preproc,small_preproc,tiny_preproc,large_wer,base_wer,medium_wer,small_wer,tiny_wer
21239,36906,36906,36906,t14,94_1,L1,nonword,At the oo I fed the black and white-striped pool.,"I hit the roof, I flat, I fed the bag, and then my wife tried to pull.","Here do I flat, I fade the back and my stripped port.","I hit the woo, I flat, I fake the back and white stripe to pull.","hit the woo, I flat effect the bag and my straped pull.",It will reflect the back and my striped pull.,at the oo i fed the black and white-striped pool.,"i hit the roof, i flat, i fed the bag, and then my wife tried to pull.","here do i flat, i fade the back and my stripped port.","i hit the woo, i flat, i fake the back and white stripe to pull.","hit the woo, i flat effect the bag and my straped pull.",it will reflect the back and my striped pull.,1.2,0.9,1.1,0.8,0.9
21241,36908,36908,36908,t14,97_2,L2,nonword,"On Sistmas, mommy left cookies for eyes.",Our sister's mommy left a cookie for us.,or systems let me lift cookie for eyes.,"On Christmas, Mommy left cookies for eyes.",Our system is when we lift cookie for ice.,or systemus will me left cookie for eyes.,"on sistmas, mommy left cookies for eyes.",our sister is mommy left a cookie for us.,or systems let me lift cookie for eyes.,"on christmas, mommy left cookies for eyes.",our system is when we lift cookie for ice.,or systemus will me left cookie for eyes.,0.8571428571428571,0.8571428571428571,0.1428571428571428,1.1428571428571428,0.7142857142857143
21259,36926,36926,36926,t14,30_3,R2P1,nonword,"At the ricnic, the crumbs attracted eggs.",Add the redneck to the crumbs subtracting X.,"At the rickening, the crumbs attract the eggs.",hit the right link to Chrome subtracting X.,at the rig link the chromium subtracting X.,and the rig link the chrome subtracting X.,"at the ricnic, the crumbs attracted eggs.",add the redneck to the crumbs subtracting x.,"at the rickening, the crumbs attract the eggs.",hit the right link to chrome subtracting x.,at the rig link the chromium subtracting x.,and the rig link the chrome subtracting x.,0.7142857142857143,0.4285714285714285,1.0,0.7142857142857143,0.8571428571428571
21266,36933,36933,36933,t14,18_2,L1,nonword,Fommy read me my favorite broom.,"For me, rep me my favorite burn.","For me, you read me my favorite book.",Fummy Rat Me My Favorite Burn.,Fummy wet me my favourite burn.,"For me, let me my favorite book.",fommy read me my favorite broom.,"for me, rep me my favorite burn.","for me, you read me my favorite book.",fummy rat me my favorite burn.,fummy wet me my favourite burn.,"for me, let me my favorite book.",0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
21277,36944,36944,36944,t14,75_3,L2,low prob,"To drive the car, daddy turns the hearts.",To drive the car that it turns to heart.,to drive the car that turns the heart.,to drive the car that it turns to heart.,to drive the car that it turns the heart.,"To drive the car, then it turns the heart.","to drive the car, daddy turns the hearts.",to drive the car that it turns to heart.,to drive the car that turns the heart.,to drive the car that it turns to heart.,to drive the car that it turns the heart.,"to drive the car, then it turns the heart.",0.625,0.375,0.625,0.5,0.375
21281,36948,36948,36948,t14,50_3,L1,nonword,Noldiers shoot with their glasses.,Know your suits with their glasses.,Know your suits with their glasses.,Know your suits with their glasses.,know your shoots with their glasses.,Know your suits with their glasses.,noldiers shoot with their glasses.,know your suits with their glasses.,know your suits with their glasses.,know your suits with their glasses.,know your shoots with their glasses.,know your suits with their glasses.,0.6,0.6,0.6,0.6,0.6
21287,36954,36954,36954,t14,80_3,L1,nonword,We roasted sarshmallows over the giraffe.,"Roasted Sarsallos over the giraffe.
Sarsmallows, okay.","We roasted our serge cells with overdraft, serge belts, okay.","roasted more sars-cellos with over the draft.
Sars-mellows, okay.","We roasted more Sars-Sallows over the draft.
Sars-Sallows, okay.",Rosa is more perslace with overdraft charge bills.,we roasted sarshmallows over the giraffe.,"roasted sarsallos over the giraffe. sarsmallows, okay.","we roasted our serge cells with overdraft, serge belts, okay.","roasted more sars-cellos with over the draft. sars-mellows, okay.","we roasted more sars-sallows over the draft. sars-sallows, okay.",rosa is more perslace with overdraft charge bills.,0.6666666666666666,1.3333333333333333,1.1666666666666667,0.8333333333333334,1.3333333333333333
21288,36955,36955,36955,t14,91_1,L1,low prob,I went sailing on a ghost.,And when selling a ghost.,I'm when selling on a ghost.,I went selling on Ghost.,I'm selling a ghost.,I went selling my ghost.,i went sailing on a ghost.,and when selling a ghost.,i am when selling on a ghost.,i went selling on ghost.,i am selling a ghost.,i went selling my ghost.,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5
21289,36956,36956,36956,t14,36_1,L2,nonword,Sitting on the vilypad was a bridge.,Center of the weather pad was a bridge.,Center on the very pad with some bridge.,The center of the velipad was a bridge.,Send a little bit of the pad with the bridge.,"So, we'll be very proud of what's the bridge.",sitting on the vilypad was a bridge.,center of the weather pad was a bridge.,center on the very pad with some bridge.,the center of the velipad was a bridge.,send a little bit of the pad with the bridge.,"so, we will be very proud of what is the bridge.",0.5714285714285714,0.7142857142857143,0.5714285714285714,1.1428571428571428,1.4285714285714286
21292,36959,36959,36959,t14,35_2,L1,nonword,"At the haunted kowce, I saw a bird.","At the haunted house, ow cows, okay at the haunted house I saw a bird.","Add the haunted nose, out cows, okay add the haunted cows, I saw a bird.",at the haunted nose ow cows okay at the haunted cows I saw a bird.,at the haunted nose ow cows okay at the haunted cows I saw a bird.,at the hownt it knows how cows okay at the hownt it cows are so good.,"at the haunted kowce, i saw a bird.","at the haunted house, ow cows, okay at the haunted house i saw a bird.","add the haunted nose, out cows, okay add the haunted cows, i saw a bird.",at the haunted nose ow cows okay at the haunted cows i saw a bird.,at the haunted nose ow cows okay at the haunted cows i saw a bird.,at the hownt it knows how cows okay at the hownt it cows are so good.,1.0,1.125,1.0,1.0,1.75
21304,36971,36971,36971,t14,91_3,L2,nonword,I went bailing on a ghost.,"And we're selling on the ghost.
Bowing.","I was sounding on the ghost, belly.","I was selling on the ghost.
BOWLING.",I was selling on the ghost Belly.,"I wish I knew the ghost.
Belling.",i went bailing on a ghost.,and we are selling on the ghost. bowing.,"i was sounding on the ghost, belly.",i was selling on the ghost. bowling.,i was selling on the ghost belly.,i wish i knew the ghost. belling.,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
21308,36975,36975,36975,t14,48_1,L2,nonword,We moved our burniture on the back of a flower.,"We moved our furniture.
We moved our furniture on the back of the flower.","We moved our furniture.
We moved our furniture in the back of the flower.",We moved our furniture on the back of the flower.,We moved our furniture on the back of the flower.,"We moved our furniture, we moved our furniture in the back of the flower.",we moved our burniture on the back of a flower.,we moved our furniture. we moved our furniture on the back of the flower.,we moved our furniture. we moved our furniture in the back of the flower.,we moved our furniture on the back of the flower.,we moved our furniture on the back of the flower.,"we moved our furniture, we moved our furniture in the back of the flower.",0.6,0.7,0.2,0.2,0.7
21316,36983,36983,36983,t14,48_3,L1,high prob,We moved our furniture on the back of a truck.,"We moved our furniture in the back of the truck.
On the back of the truck.","We moved over to the back of the truck.
On the back of the truck.","We moved our furniture in the back of the truck.
On the back of the truck.","We moved our front engine in the back of the truck.
On the back of the truck.","We moved our furniture into back of the truck.
On the back of the truck.",we moved our furniture on the back of a truck.,we moved our furniture in the back of the truck. on the back of the truck.,we moved over to the back of the truck. on the back of the truck.,we moved our furniture in the back of the truck. on the back of the truck.,we moved our front engine in the back of the truck. on the back of the truck.,we moved our furniture into back of the truck. on the back of the truck.,0.7,0.8,0.7,0.9,0.6
21331,36998,36998,36998,t14,31_2,L1,high prob,The pilot flew the airplane.,to drive the pilot through the airplane.,to try the pilot flute airplane.,to pilot through the airplane.,to dry the pilot through the airplane.,to dry the fluidier plate.,the pilot flew the airplane.,to drive the pilot through the airplane.,to try the pilot flute airplane.,to pilot through the airplane.,to dry the pilot through the airplane.,to dry the fluidier plate.,0.6,0.8,0.4,0.6,1.0
21335,37002,37002,37002,t14,6_1,L1,high prob,The scared turtle won't come out of its shell.,"The scared turtle won't come out of its own shell.
Oh, okay, oh my god, I made a mistake.
Never mind, okay.
Okay.","The scary turtle won't come out if it's own shell.
Oh okay oh my god I'm is that my modeled tank.
They're my okay okay.",the scared turtle won't come out if its own shall oh okay oh my god I'm gonna say never mind okay okay.,the scared turtle won't come out if its own shell oh okay oh my god I'm gonna say never mind okay okay.,"The scary turtle won't come out if it's on shell.
Oh, okay, oh my god, I'm gonna say, nevermind, okay.",the scared turtle will not come out of its shell.,"the scared turtle will not come out of its own shell. oh, okay, oh my god, i made a mistake. never mind, okay. okay.",the scary turtle will not come out if it is own shell. oh okay oh my god i am is that my modeled tank. they are my okay okay.,the scared turtle will not come out if its own shall oh okay oh my god i am gonna say never mind okay okay.,the scared turtle will not come out if its own shell oh okay oh my god i am gonna say never mind okay okay.,"the scary turtle will not come out if it is on shell. oh, okay, oh my god, i am gonna say, nevermind, okay.",1.4,2.2,1.6,1.6,1.6
21347,37014,37014,37014,t14,19_2,L1,nonword,The bing lived in a large tv.,The Bing Live Enlarged TV.,The Bing live in a large TV.,The Bing Living in Large TV.,The Bing Living and Large TV.,The Bang Live in a Large TV.,the bing lived in a large tv.,the bing live enlarged tv.,the bing live in a large tv.,the bing living in large tv.,the bing living and large tv.,the bang live in a large tv.,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.2857142857142857
21348,37015,37015,37015,t14,45_3,L2,nonword,I wear bunglasses to shade my fire.,I waste one glasses to shame and fire.,I wish one glasses to shame a fire.,I wear sunglasses to shade my flyer.,I waste one glass to shame my fire.,I wish one glasses to shame and fire.,i wear bunglasses to shade my fire.,i waste one glasses to shame and fire.,i wish one glasses to shame a fire.,i wear sunglasses to shade my flyer.,i waste one glass to shame my fire.,i wish one glasses to shame and fire.,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.7142857142857143
21365,37032,37032,37032,t14,99_2,R6P1,nonword,"To cross the sivver, we walked on a banana.","To crush the severe, we welcome the banana.",It's across the severely welcomed banana.,"To cross the server, we walk on the banana.",To cross the server we welcome the banana.,It's across the city where we walk in the banana.,"to cross the sivver, we walked on a banana.","to crush the severe, we welcome the banana.",it is across the severely welcomed banana.,"to cross the server, we walk on the banana.",to cross the server we welcome the banana.,it is across the city where we walk in the banana.,0.5555555555555556,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.8888888888888888
