,participant_id,file_name,Sentence ID,Iteration,probability,Expected Transcription,large,base,medium,small,tiny
0,t2,t2_F_MN_SAUCE_block0_sauce_23_2_L1_large-v3.txt,23_2,L1,high prob,When daddy cooks he adds pepper and salt.,"When daddy cooks, he adds pepper and salt.","When daddy clicks, he adds pepper and salt.",when daddy cooks he adds pepper and salt.,"When daddy cooks, he adds pepper and salt.","When Daddy Clues, he adds pepper and salt."
1,t2,t2_F_MN_SAUCE_block0_sauce_9_2_L2_large-v3.txt,9_2,L2,nonword,I put shamTROO in my pig.,I push them through in my peg.,I will lace in my back.,I push them true in my pig.,I push them through in my pick.,I will show them true in my pack.
2,t2,t2_F_MN_SAUCE_block0_sauce_20_1_L2_large-v3.txt,20_1,L2,low prob,Please sweep the floor with a snowman.,Please sweep the floor with a snowman.,Place with the floor with a snowman.,Place with the floor with a snowman.,Place with the floor with a snowman.,Place with the floor with a snowman.
3,t2,t2_F_MN_SAUCE_block0_sauce_31_3_L2_large-v3.txt,31_3,L2,low prob,The pilot flew the rope.,The pilot flew the rope.,The pilot flew the rope.,the pile of lute rope.,The pilot fluid rope.,The pilot flew the rope.
4,t2,t2_F_MN_SAUCE_block0_sauce_54_2_L2_large-v3.txt,54_2,L2,nonword,"In the plathtub, there is a floating little wheel.","In the flat top, there is a floating little wheel.",In the flat top there's a floating little wheel.,"In the flat top, there's a floating little wheel.","In the flat top, there's a floating little wheel.",In the flat top there's a floating little wheel.
5,t2,t2_F_MN_SAUCE_block0_sauce_19_1_L1_large-v3.txt,19_1,L1,low prob,The king lived in a large tv.,The king lived in a large tevi.,The King live in a large TV.,The king live in a large TV.,The king live in a large TV.,The King live in a large TV.
6,t2,t2_F_MN_SAUCE_block0_sauce_46_3_L1_large-v3.txt,46_3,L1,high prob,"At Valentine's day, we drew lots of hearts.","At Valentine's Day, we drew lots of hearts.",At Valentine's Day we drew lots of hurts.,"At Valentine's Day, we drew lots of hearts.","At Valentine's Day, we drew lots of hurts.","At Valentine's Day, we drew lots of hurts."
7,t2,t2_F_MN_SAUCE_block0_sauce_57_1_L1_large-v3.txt,57_1,L1,high prob,At the playground I like to go down the slide.,At the playground I like to go down the slide.,At the playground I like to go down the slide.,"At the playground, I like to go down the slide.",At the playground I like to go down the slide.,At the playground I like to go down the slide.
8,t2,t2_M_MN_SAUCE_block4_sauce_86_1_L2_large-v3.txt,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,The stove took lessons to play the dinosaur.
9,t2,t2_M_MN_SAUCE_block4_sauce_97_3_L2_large-v3.txt,97_3,L2,high prob,"On Christmas, mommy left cookies for santa.","On Christmas, mommy left cookies for Santa.","On Christmas, mommy left cookies for Santa.",On Christmas mommy left cookies for Santa.,"On Christmas, mommy left cookies for Santa.","On Christmas, Mommy and Life Cook is for Santa."
10,t2,t2_F_MN_SAUCE_block0_sauce_61_1_R1P2_large-v3.txt,61_1,R1P2,nonword,I used 3 big coballs to make a bear.,I used three big cobalt to make a beer.,I used three big cobalt to make a beer.,I used three big cobalt to make a beer.,I used three big cobalt to make a beer.,I used three big cobalt to make it bigger.
11,t2,t2_F_MN_SAUCE_block0_sauce_65_2_R2P2_large-v3.txt,65_2,R2P2,nonword,The coloring hook comes with a box of hair.,The coloring hook comes with a box of hair.,The coloring hook comes with a box of here.,The coloring hook comes with a box of hair.,The coloring hook comes with a box of hair.,The carring hook comes with a box of hair.
12,t2,t2_M_MN_SAUCE_block4_sauce_85_2_L1_large-v3.txt,85_2,L1,nonword,I like to play betch with my clock.,I like to play badge with my clock.,I like to play badge with my clock.,I like to play badge with my clock.,I like to play badge with my clock.,I'd like to play Badge with my clock.
13,t2,t2_F_MN_SAUCE_block0_sauce_32_2_L2_large-v3.txt,32_2,L2,low prob,On her finger she wore a rocket.,"On her finger, she wore a rocket.",On her finger she wore a rocket.,On her finger she wore a rocket.,"On her finger, she wore a rocket.",On her finger she wore a rocket.
14,t2,t2_F_MN_SAUCE_block0_sauce_31_1_L1_large-v3.txt,31_1,L1,nonword,The drilot flew the rope.,The trailer flew the rope.,The driver flew the rope.,The dryler flew the rope.,The dry lip flew the rope.,The tri-less fluid are open.
15,t2,t2_F_MN_SAUCE_block0_sauce_20_3_L1_large-v3.txt,20_3,L1,high prob,Please sweep the floor with a broom.,Please sweep the floor with a broom.,Place with the floor with a broom.,Place with the floor with a broom.,Place with the floor with a broom.,Place with the floor with a burn.
16,t2,t2_M_MN_SAUCE_block4_sauce_97_1_L1_large-v3.txt,97_1,L1,low prob,"On Christmas, mommy left cookies for eyes.","On Christmas, mommy left cookies for ice.","On Christmas, mommy left cookies for ice.","On Christmas, Mommy left cookies for us.","On Christmas, mommy left cookies for ice.","On Christmas, mommy and laugh cookies flies."
17,t2,t2_M_MN_SAUCE_block4_sauce_86_3_L1_large-v3.txt,86_3,L1,high prob,The girl took lessons to play the piano.,The girl took lessons to play the piano.,The grow took lessons to play the piano.,The girl took lessons to play the piano.,The grout took lessons to play the piano.,The grow took lessons to play the piano.
18,t2,t2_M_MN_SAUCE_block4_sauce_94_2_L2_large-v3.txt,94_2,L2,low prob,At the zoo I fed the black and white-striped pool.,"At a zoo, I fed the black wise dry pool.","Add a two, I've fat the black, white, dry, pool.","At a zoo, I fed the black white striped pool.",At a 2 I fed the black wise dry pool.,Add a two I've fat the black Y-stripe pool.
19,t2,t2_F_MN_SAUCE_block0_sauce_19_3_L2_large-v3.txt,19_3,L2,high prob,The king lived in a large castle.,The king lived in a large castle.,The king lived in a large castle.,The king lived in a large castle.,The king lived in a large castle.,The King lived in a large castle.
20,t2,t2_F_MN_SAUCE_block0_sauce_45_2_L1_large-v3.txt,45_2,L1,low prob,I wear sunglasses to shade my fire.,I wear sunglasses to shade my fire.,I wear sunglasses to shade my fire.,I wear sunglasses to shade my fire.,I wear sunglasses to shade my fire.,I wear sunglasses to shade my fire.
21,t2,t2_F_MN_SAUCE_block0_sauce_57_3_L2_large-v3.txt,57_3,L2,low prob,At the playground I like to go down the candle.,"At the playground, I like to go down the candle.",At the playground I like to go down the candle.,At the playground I like to go down the candle.,Add the playground a light to go down the candle.,Add a playground I like to go down the candle.
22,t2,t2_F_MN_SAUCE_block0_sauce_46_1_L2_large-v3.txt,46_1,L2,nonword,"At Shallentine's day, we drew lots of pants.","At Charlatan's Day, we drew lots of pants.","At Shalantine's Day, we drew lots of pens.","At Shalom Times Day, we drew lots of pens.","At Shalom time stay, we drew lots of pens.","At Shalantine's Day, we drew lots of pens."
