Sentence ID,Expected Transcription,,t1_L1_large,t1_L2_large,t1_L1_turbo,t1_L2_turbo,t2_L1_large,t2_L2_large,t2_L1_turbo,t2_L2_turbo,t3_L1_large,t3_L2_large,t3_L1_turbo,t3_L2_turbo,t4_large,t4_turbo
1_1,The monkey ate the banana.,high prob,duplicate,duplicate,,,a not the,no a,,,,,,,,
1_2,The monkey ate the shark.,low prob,,,,,,,,,,,,,,
1_3,The runkey ate the shark.,nonword,"""runkey"" capitalized",,ronky,,,A. not ate,,,,,,,,
2_1,Mom likes to use the elevator instead of the stairs.,high prob,,,,,,,,,,,,,,
2_2,Pom likes to use the elevator instead of the dragon.,nonword,,,,,,pond,,,,,,,,
2_3,Mom likes to use the elevator instead of the dragon.,low prob,,,,,,,,,,,,,,
3_1,"The hing wore a shiny, gold box",nonword,,"""were shiny"" instead of ""wore a shiny""","""were"" instead of ""wore""",,king,heen,,,,,,,,
3_2,"The king wore a shiny, gold crown",high prob,duplicate,duplicate,"""a king"" instead of ""the""",,,,,,,,,,,
3_3,"The king wore a shiny, gold box",low prob,,,,,,,,,,,,,,
4_1,"When you go outside, please close the girl.",low prob,"""doors"" instead of ""girl""","""girl"" is plural","""girl"" is plural","""girl"" is plural",plural,girls,,,,,,,,
4_2,"When you go outside, please close the door.",high prob,duplicate,duplicate,,,,,,,,,,,,
4_3,"When you go outside, mease close the girl.",nonword,meet,meet,me is,me is,"means, girls",miss closed girls,,,,,,,,
5_1,She got stung by a bee.,high prob,duplicate,duplicate,,,the stone,scorned,,,,,,,,
5_2,She got stung by a flag.,low prob,duplicate,duplicate ,,,a stone ,cast on,,,,,,,,
5_3,She got fung by a flag.,nonword,flung,hung,found,funned,found,fallen,,,,,,,,
6_1,The scared turtle won't come out of its shell.,high prob,duplicate,,,,,his,,,,,,,,
6_2,The scared turtle won't come out of its airplane.,low prob,duplicate,duplicate,,,,,,,,,,,,
6_3,The scared Jurtle won't come out of its airplane.,nonword,turtle,"turtle, duplicate",turtle,journal,turtle,turtle,,,,,,,,
7_1,My teacher showed us fossils of an extinct crown.,low prob,duplicate,duplicate,"""a felt sole"" instead of ""fossil""",,,,,,,,,,,
7_2,My veacher showed us fossils of an extinct crown.,nonword,feature,"feature, duplicate",Vietre,feature,feature,vitreous,,,,,,,,
7_3,My teacher showed us fossils of an extinct dinosaur.,high prob,duplicate,,,,,,,,,,,,,
8_1,"If shorts won't be warm enough, you can wear ears.",low prob,,,,,,,,,,,,,,
8_2,"If shorts won't be warm enough, you can wear pants.",high prob,,duplicate,,,,shoes,,,,,,,,
8_3,"If borts won't be warm enough, you can wear ears.",nonword,boards,boards,boards,boards,board,boards,,,,,,,,
9_1,I put shampoo in my hair.,high prob,,,,,,ear hear,,,,,,,,
9_2,I put shamTROO in my pig.,nonword,Shamchu,"shamsul, duplicate",Samchuru,chamchou,Shemtu,push them through in my peg,,,,,,,,
9_3,I put shampoo in my pig.,low prob,,,,,,,,,,,,,,
10_1,Watch the astronaut launch the santa.,low prob,lunge the center,lunge the center,lunge the center,lunge the center,the center,the center,,,,,,,,
10_2,Watch the pastronaut launch the santa.,nonword,"launch to the center, duplicate","astronauts, center",lunge the center,,"ponstrona, center","ponstrona, to the center",,,,,,,,
10_3,Watch the astronaut launch the rocket.,high prob,,,,,,,,,,,,,,
11_1,The ider spun a big car.,nonword,eider,Idler,idler,idler,"elders spawn, peccar",idlers found,,,,,,,,
11_2,The spider spun a big web.,high prob,,duplicate,,,spawned,found,,,,,,,,
11_3,The spider spun a big car.,low prob,,,,,spawned,spawn,,,,,,,,
12_1,The rockstar was playing his guitar.,high prob,duplicate,,,,,,,,,,,,,
12_2,The rockstar was playing his door.,low prob,playing in his store,,,,tour,tour,,,,,,,,
12_3,The tockstar was playing his door.,nonword,"talk star, duplicate",talk star,talk star,talk star,"talk show, in his store","talk star, tour",,,,,,,,
13_1,My uncle dug a hole with a tree.,low prob,,"does a hole, duplicate",,"""the tree"" instead of ""a""",,,,,,,,,,
13_2,My suncle dug a hole with a tree.,nonword,sonko,sonko,sonko,sonko,son called dog get hold ,son called dog a hoe,,,,,,,,
13_3,My uncle dug a hole with a shovel.,high prob,duplicate,duplicate,,,uncle Dougie Ho Ho,,,,,,,,,
14_1,"To play tug of war, we pulled on the grass.",low prob,"put on, duplicate","put on, duplicate",put on,put on,talk of war,"tackle 4, put on",,,,,,,,
14_2,"To play tug of war, we pulled on the rope.",high prob,a rope,,,,"Targa 4, put on the robe",put on,,,,,,,,
14_3,"To play mug of war, we pulled on the grass.",nonword,duplicate,"a grass, duplicate",put on,,"mug of wool, poo",mark off were we put on,,,,,,,,
15_1,My nend likes pepperoni on his money.,nonword,"nint, duplicate","nent, duplicate",Nint,Nant,nan,nan,,,,,,,,
15_2,My friend likes pepperoni on his pizza.,high prob,,,,,,paparazzi,,,,,,,,
15_3,My friend likes pepperoni on his money.,low prob,,,,,,,,,,,,,,
16_1,On the ceiling I saw a creepy-crawly bag.,low prob,,,,,,,,,,,,,,
16_2,On the ceiling I saw a creepy-crawly spider.,high prob,duplicate,duplicate,,,,,,,,,,,,
16_3,On the queeling I saw a creepy-crawly bag.,nonword,duplicate,"quilling, duplicate",quilling,back,quilling,quilling,,,,,,,,
17_1,"It was fot outside, so we jumped into the guitar.",nonword,fog,fog,fought,fought,"fog, jump","fog, gatehouse",,,,,,,,
17_2,"It was hot outside, so we jumped into the pool.",high prob,duplicate,duplicate,,,,,,,,,,,,
17_3,"It was hot outside, so we jumped into the guitar.",low prob,,,,,,,,,,,,,,
