sentence_id,sentence_type,reference,expected_transcription,acceptable_transcription
1_1,high prob,The monkey ate the banana.,the monkey ate the banana,
1_2,low prob,The monkey ate the shark.,the monkey ate the shark,
1_3,nonword,The runkey ate the shark.,the runkey ate the shark,
2_1,high prob,Mom likes to use the elevator instead of the stairs.,mom likes to use the elevator instead of the stairs,
2_2,nonword,Pom likes to use the elevator instead of the dragon.,pom likes to use the elevator instead of the dragon,
2_3,low prob,Mom likes to use the elevator instead of the dragon.,mom likes to use the elevator instead of the dragon,
3_1,nonword,"The hing wore a shiny, gold box",the hing wore a shiny gold box,
3_2,high prob,"The king wore a shiny, gold crown",the king wore a shiny gold crown,
3_3,low prob,"The king wore a shiny, gold box",the king wore a shiny gold box,
4_1,low prob,"When you go outside, please close the girls.",when you go outside please close the girls,
4_2,high prob,"When you go outside, please close the door.",when you go outside please close the door,
4_3,nonword,"When you go outside, mease close the girls.",when you go outside mease close the girls,
5_1,high prob,She got stung by a bee.,she got stung by a bee,
5_2,low prob,She got stung by a flag.,she got stung by a flag,
5_3,nonword,She got fung by a flag.,she got fung by a flag,
6_1,high prob,The scared turtle won't come out of its shell.,the scared turtle wont come out of its shell,
6_2,low prob,The scared turtle won't come out of its airplane.,the scared turtle wont come out of its airplane,
6_3,nonword,The scared Jurtle won't come out of its airplane.,the scared jurtle wont come out of its airplane,
7_1,low prob,My teacher showed us fossils of an extinct crown.,my teacher showed us fossils of an extinct crown,
7_2,nonword,My veacher showed us fossils of an extinct crown.,my veacher showed us fossils of an extinct crown,
7_3,high prob,My teacher showed us fossils of an extinct dinosaur.,my teacher showed us fossils of an extinct dinosaur,
8_1,low prob,"If shorts won't be warm enough, you can wear ears.",if shorts wont be warm enough you can wear ears,
8_2,high prob,"If shorts won't be warm enough, you can wear pants.",if shorts wont be warm enough you can wear pants,
8_3,nonword,"If borts won't be warm enough, you can wear ears.",if borts wont be warm enough you can wear ears,
9_1,high prob,I put shampoo in my hair.,i put shampoo in my hair,
9_2,nonword,I put shamTROO in my pig.,i put shamtroo in my pig,
9_3,low prob,I put shampoo in my pig.,i put shampoo in my pig,
10_1,low prob,Watch the astronaut launch the santa.,watch the astronaut launch the santa,
10_2,nonword,Watch the pastronaut launch the santa.,watch the pastronaut launch the santa,
10_3,high prob,Watch the astronaut launch the rocket.,watch the astronaut launch the rocket,
11_1,nonword,The ider spun a big car.,the ider spun a big car,"['the ider spawn a big car','the ider spawn a big card','the ider spun a big card']"
11_2,high prob,The spider spun a big web.,the spider spun a big web,['the spider spawn a big web']
11_3,low prob,The spider spun a big car.,the spider spun a big car,"['the spider spawn a big car','the spider spawn a big card','the spider spun a big card']"
12_1,high prob,The rockstar was playing his guitar.,the rockstar was playing his guitar,['the rock star was playing his guitar']
12_2,low prob,The rockstar was playing his door.,the rockstar was playing his door,['the rock star was playing his door']
12_3,nonword,The tockstar was playing his door.,the tockstar was playing his door,
13_1,low prob,My uncle dug a hole with a tree.,my uncle dug a hole with a tree,
13_2,nonword,My suncle dug a hole with a tree.,my suncle dug a hole with a tree,
13_3,high prob,My uncle dug a hole with a shovel.,my uncle dug a hole with a shovel,
14_1,low prob,"To play tug of war, we pulled on the grass.",to play tug of war we pulled on the grass,
14_2,high prob,"To play tug of war, we pulled on the rope.",to play tug of war we pulled on the rope,
14_3,nonword,"To play mug of war, we pulled on the grass.",to play mug of war we pulled on the grass,
15_1,nonword,My nend likes pepperoni on his money.,my nend likes pepperoni on his money,
15_2,high prob,My friend likes pepperoni on his pizza.,my friend likes pepperoni on his pizza,
15_3,low prob,My friend likes pepperoni on his money.,my friend likes pepperoni on his money,
16_1,low prob,On the ceiling I saw a creepy-crawly bag.,on the ceiling i saw a creepycrawly bag,['on the ceiling I saw a creepy crawly bag']
16_2,high prob,On the ceiling I saw a creepy-crawly spider.,on the ceiling i saw a creepycrawly spider,['on the ceiling I saw a creepy crawly spider']
16_3,nonword,On the queeling I saw a creepy-crawly bag.,on the queeling i saw a creepycrawly bag,['on the queeling I saw a creepy crawly bag']
17_1,nonword,"It was fot outside, so we jumped into the guitar.",it was fot outside so we jumped into the guitar,
17_2,high prob,"It was hot outside, so we jumped into the pool.",it was hot outside so we jumped into the pool,
17_3,low prob,"It was hot outside, so we jumped into the guitar.",it was hot outside so we jumped into the guitar,
18_1,high prob,Mommy read me my favorite book.,mommy read me my favorite book,
18_2,nonword,Fommy read me my favorite broom.,fommy read me my favorite broom,
18_3,low prob,Mommy read me my favorite broom.,mommy read me my favorite broom,
19_1,low prob,The king lived in a large tv.,the king lived in a large tv,
19_2,nonword,The bing lived in a large tv.,the bing lived in a large tv,
19_3,high prob,The king lived in a large castle.,the king lived in a large castle,
20_1,low prob,Please sweep the floor with a snowman.,please sweep the floor with a snowman,
20_2,nonword,Please greep the floor with a snowman.,please greep the floor with a snowman,
20_3,high prob,Please sweep the floor with a broom.,please sweep the floor with a broom,
21_1,low prob,"He always wears a helmet on that fast, loud ball.",he always wears a helmet on that fast loud ball,
21_2,nonword,"He always wears a belmet on that fast, loud ball.",he always wears a belmet on that fast loud ball,
21_3,high prob,"He always wears a helmet on that fast, loud motorcycle.",he always wears a helmet on that fast loud motorcycle,
22_1,high prob,The bride wore a fancy dress.,the bride wore a fancy dress,
22_2,nonword,The kide wore a fancy bed.,the kide wore a fancy bed,
22_3,low prob,The bride wore a fancy bed.,the bride wore a fancy bed,
23_1,nonword,When raddy cooks he adds pepper and duck.,when raddy cooks he adds pepper and duck,
23_2,high prob,When daddy cooks he adds pepper and salt.,when daddy cooks he adds pepper and salt,
23_3,low prob,When daddy cooks he adds pepper and duck.,when daddy cooks he adds pepper and duck,
24_1,high prob,The mommy put a diaper on her baby.,the mommy put a diaper on her baby,
24_2,low prob,The mommy put a diaper on her cereal.,the mommy put a diaper on her cereal,
24_3,nonword,The plommy put a diaper on her cereal.,the plommy put a diaper on her cereal,
25_1,high prob,When I get a cold I have a runny nose.,when i get a cold i have a runny nose,
25_2,nonword,When I get a brold I have a runny pumpkin.,when i get a brold i have a runny pumpkin,
25_3,low prob,When I get a cold I have a runny pumpkin.,when i get a cold i have a runny pumpkin,
26_1,high prob,The bee sat on the petals of the flower.,the bee sat on the petals of the flower,"['the bee sat on the petals of the flour','the b sat on the petals of the flour','the b sat on the petals of the flower','the bee sat on the pedals of the flour','the b sat on the pedals of the flour','the b sat on the pedals of the flower']"
26_2,nonword,The swee sat on the petals of the watch.,the swee sat on the petals of the watch,['the swee sat on the pedals of the watch']
26_3,low prob,The bee sat on the petals of the watch.,the bee sat on the petals of the watch,"['the b sat on the petals of the watch','the b sat on the pedals of the watch','the bee sat on the pedals of the watch']"
27_1,low prob,The swimmer was being chased by a giant house.,the swimmer was being chased by a giant house,
27_2,nonword,The fimmer was being chased by a giant house.,the fimmer was being chased by a giant house,
27_3,high prob,The swimmer was being chased by a giant shark.,the swimmer was being chased by a giant shark,
28_1,nonword,"First put on your nocks, then put on your crayons.",first put on your nocks then put on your crayons,
28_2,high prob,"First put on your socks, then put on your shoes.",first put on your socks then put on your shoes,
28_3,low prob,"First put on your socks, then put on your crayons.",first put on your socks then put on your crayons,
29_1,low prob,The gift was inside the zebra.,the gift was inside the zebra,
29_2,high prob,The gift was inside the box.,the gift was inside the box,
29_3,nonword,The tift was inside the zebra.,the tift was inside the zebra,
30_1,low prob,"At the picnic, the crumbs attracted eggs.",at the picnic the crumbs attracted eggs,
30_2,high prob,"At the picnic, the crumbs attracted ants.",at the picnic the crumbs attracted ants,['at the picnic the crumbs attracted aunts']
30_3,nonword,"At the ricnic, the crumbs attracted eggs.",at the ricnic the crumbs attracted eggs,
31_1,nonword,The drilot flew the rope.,the drilot flew the rope,
