participant_id,sentence_id,probability,unique_iterations,best_wer_across_iterations,best_iteration,best_model
t1,100_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,100_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,10_1,low prob,"['L1', 'L2']",0.16666666666666666,L1,medium
t1,10_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,11_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,11_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,12_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,12_2,low prob,"['L2', 'L1']",0.0,L1,base
t1,13_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,13_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,14_1,low prob,"['L1', 'L2']",0.0,L2,medium
t1,14_2,high prob,"['L2', 'L1']",0.0,L1,base
t1,15_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,15_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,16_1,low prob,"['L1', 'L2']",0.1111111111111111,L1,large
t1,16_2,high prob,"['L2', 'L1']",0.1111111111111111,L1,large
t1,17_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,17_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,18_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,18_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,19_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,19_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,1_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,1_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,20_1,low prob,"['L1', 'L2']",0.0,L1,base
t1,20_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,21_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,21_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,22_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,22_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,23_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,23_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,24_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,24_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,25_1,high prob,"['L1', 'R1P2', 'R1P1', 'L2']",0.0,L1,large
t1,25_3,low prob,"['R1P2', 'L2', 'R1P1', 'L1']",0.0,L1,large
t1,26_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,26_3,low prob,"['L2', 'L1']",0.0,L2,large
t1,27_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,27_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,28_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,28_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,29_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,29_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,2_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,2_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,30_1,low prob,"['L2', 'L1']",0.1428571428571428,L1,large
t1,30_2,high prob,"['L1', 'L2']",0.1428571428571428,L1,large
t1,31_2,high prob,"['L1', 'R1P2', 'R1P1', 'L2']",0.0,L2,large
t1,31_3,low prob,"['L1', 'R1P2', 'R1P1', 'L2']",0.0,L2,large
t1,32_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,32_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,33_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,33_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,34_1,high prob,"['L2', 'L1']",0.0,L1,large
t1,34_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,35_1,low prob,"['L2', 'L1']",0.0,L1,large
t1,35_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,36_2,low prob,"['L1', 'L2']",0.0,L1,base
t1,36_3,high prob,"['L1', 'L2']",0.125,L1,large
t1,37_2,low prob,"['L1', 'L2']",0.0,L1,base
t1,37_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,38_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,38_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,39_2,low prob,"['L2', 'L1']",0.0,L2,large
t1,39_3,high prob,"['L2', 'L1']",0.0,L2,large
t1,3_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,3_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,40_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,40_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,41_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,41_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,42_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,42_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,43_1,low prob,"['L1', 'L2']",0.0,L1,large
t1,43_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,44_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,44_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,45_1,high prob,"['L1', 'L2']",0.0,L1,large
t1,45_2,low prob,"['L2', 'L1']",0.0,L1,large
t1,46_2,low prob,"['L2', 'L1']",0.0,L2,large
t1,46_3,high prob,"['L2', 'L1']",0.0,L1,large
t1,47_2,high prob,"['L2', 'L1']",0.0,L1,large
t1,47_3,low prob,"['L2', 'L1']",0.0,L1,large
t1,48_2,low prob,"['L1', 'L2']",0.0,L1,large
t1,48_3,high prob,"['L1', 'L2']",0.0,L1,large
t1,49_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,49_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,4_1,low prob,"['L2', 'L1']",0.125,L1,large
t1,4_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,50_1,high prob,"['R2P1', 'L2', 'R2P2', 'L1']",0.0,L1,large
t1,50_2,low prob,"['L1', 'R2P1', 'L2', 'R2P2']",0.0,L2,large
t1,51_2,high prob,"['L1', 'L2']",0.0,L1,large
t1,51_3,low prob,"['L1', 'L2']",0.0,L1,large
t1,52_1,low prob,"['L2', 'L1']",0.0,L1,large
