talker_id,talker_gender,talker_accent
t1,Male,MN
t2,Female,MN
t3,Female,MN
t4,Male,MN
t5,Female,MN
t28,Male,MN
t32,Female,MN
t8,Female,MN
t10,Male,MN
t12,Female,MN
t13,Male,MN
t15,Female,MN
t48,Female,MN
t73,Female,MN
t74,Male,MN
t17,Male,MN
t75,Male,MN
t76,Nonbinary,MN
t19,Female,MN
t20,Female,MN
t21,Male,MN
t22,Male,MN
t24,Male,MN
t25,Male,MN
t26,Female,MN
t27,Female,MN
t6,Female,MN
t30,Female,MN
t31,Female,MN
t7,Female,MN
t23,Female,MN
t33,Female,MN
t34,Female,MN
t35,Female,MN
t36,Female,MN
t37,Female,MN
t18,Male,MN
t38,Female,MN
t40,Male,MN
t41,Female,MN
t43,Female,MN
t44,Female,MN
t45,Male,MN
t47,Female,MN
t77,Female,MN
t80,Male,MN
t82,Female,MN
t83,Female,MN
t49,Female,EN
t51,Female,EN
t55,Male,EN
t52,Male,EN
t53,Male,EN
t54,Female,EN
t56,Female,EN
t57,Female,EN
t58,Female,EN
t59,Female,EN
t60,Female,EN
t61,Female,EN
t62,Female,EN
t63,Female,EN
t64,Male,EN
t65,Female,EN
t66,Female,EN
t67,Female,EN
t69,Male,EN
t72,Male,EN
t68,Female,EN
t71,Male,EN
t78,Male,EN
t79,Male,EN
