,participant_id,Sentence ID,Iteration,probability,Expected Transcription,large,base,medium,small,tiny
0,t2,23_2,L1,high prob,When daddy cooks he adds pepper and salt.,"When daddy cooks, he adds pepper and salt.","When daddy clicks, he adds pepper and salt.",when daddy cooks he adds pepper and salt.,"When daddy cooks, he adds pepper and salt.","When Daddy Clues, he adds pepper and salt."
1,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",Again check the time on key steers.,Again check the tie on key steers.,
2,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",Again check the time on key steers.,Again check the tie on key steers.,To get checked at high on key steers.
3,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",Again check the time on key steers.,,
4,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",Again check the time on key steers.,,To get checked at high on key steers.
5,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",,Again check the tie on key steers.,
6,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",,Again check the tie on key steers.,To get checked at high on key steers.
7,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",,,
8,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,"Again, check the tie on keysters.",,,To get checked at high on key steers.
9,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,Again check the time on key steers.,Again check the tie on key steers.,
10,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,Again check the time on key steers.,Again check the tie on key steers.,To get checked at high on key steers.
11,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,Again check the time on key steers.,,
12,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,Again check the time on key steers.,,To get checked at high on key steers.
13,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,,Again check the tie on key steers.,
14,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,,Again check the tie on key steers.,To get checked at high on key steers.
15,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,,,
16,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Thank you.,,,,To get checked at high on key steers.
17,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",Again check the time on key steers.,Again check the tie on key steers.,
18,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",Again check the time on key steers.,Again check the tie on key steers.,To get checked at high on key steers.
19,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",Again check the time on key steers.,,
20,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",Again check the time on key steers.,,To get checked at high on key steers.
21,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",,Again check the tie on key steers.,
22,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",,Again check the tie on key steers.,To get checked at high on key steers.
23,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",,,
24,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,"Again, check the tie on keysters.",,,To get checked at high on key steers.
25,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,Again check the time on key steers.,Again check the tie on key steers.,
26,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,Again check the time on key steers.,Again check the tie on key steers.,To get checked at high on key steers.
27,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,Again check the time on key steers.,,
28,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,Again check the time on key steers.,,To get checked at high on key steers.
29,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,,Again check the tie on key steers.,
30,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,,Again check the tie on key steers.,To get checked at high on key steers.
31,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,,,
32,t2,76_2,L2,nonword,The gan checked the time on his stairs.,Again check the tie on keystairs.,,,,To get checked at high on key steers.
33,t2,9_2,L2,nonword,I put shamTROO in my pig.,I push them through in my peg.,I will lace in my back.,I push them true in my pig.,I push them through in my pick.,I will show them true in my pack.
34,t2,20_1,L2,low prob,Please sweep the floor with a snowman.,Please sweep the floor with a snowman.,Place with the floor with a snowman.,Place with the floor with a snowman.,Place with the floor with a snowman.,Place with the floor with a snowman.
35,t2,31_3,L2,low prob,The pilot flew the rope.,The pilot flew the rope.,The pilot flew the rope.,the pile of lute rope.,The pilot fluid rope.,The pilot flew the rope.
36,t2,54_2,L2,nonword,"In the plathtub, there is a floating little wheel.","In the flat top, there is a floating little wheel.",In the flat top there's a floating little wheel.,"In the flat top, there's a floating little wheel.","In the flat top, there's a floating little wheel.",In the flat top there's a floating little wheel.
37,t2,19_1,L1,low prob,The king lived in a large tv.,The king lived in a large tevi.,The King live in a large TV.,The king live in a large TV.,The king live in a large TV.,The King live in a large TV.
38,t2,46_3,L1,high prob,"At Valentine's day, we drew lots of hearts.","At Valentine's Day, we drew lots of hearts.",At Valentine's Day we drew lots of hurts.,"At Valentine's Day, we drew lots of hearts.","At Valentine's Day, we drew lots of hurts.","At Valentine's Day, we drew lots of hurts."
39,t2,57_1,L1,high prob,At the playground I like to go down the slide.,At the playground I like to go down the slide.,At the playground I like to go down the slide.,"At the playground, I like to go down the slide.",At the playground I like to go down the slide.,At the playground I like to go down the slide.
40,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,,
41,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.
42,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,
43,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,The stove took lessons to play the dinosaur.
44,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,,,
45,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,,,The stove took lessons to play the dinosaur.
46,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,,Distort two classes to play the dinosaur.,
47,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,Destroy Tick-cessons to play the Titan Zone.,,Distort two classes to play the dinosaur.,The stove took lessons to play the dinosaur.
48,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.,,
49,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.
50,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,
51,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,The stove took lessons to play the dinosaur.
52,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,,,
53,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,,,The stove took lessons to play the dinosaur.
54,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,,Distort two classes to play the dinosaur.,
55,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,The stoat took lessons to play the dinosaur.,,,Distort two classes to play the dinosaur.,The stove took lessons to play the dinosaur.
56,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,,
57,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.
58,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,
59,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,The stove took lessons to play the dinosaur.
60,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,,,
61,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,,,The stove took lessons to play the dinosaur.
62,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,,Distort two classes to play the dinosaur.,
63,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,Destroy Tick-cessons to play the Titan Zone.,,Distort two classes to play the dinosaur.,The stove took lessons to play the dinosaur.
64,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,,The stove took lessons to play the dinosaur.,,
65,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,,The stove took lessons to play the dinosaur.,,The stove took lessons to play the dinosaur.
66,t2,86_1,L2,nonword,The stirl took lessons to play the dinosaur.,Thank you.,,The stove took lessons to play the dinosaur.,Distort two classes to play the dinosaur.,
