sentence_id,expected_transcription,tag
1_1,The monkey ate the banana.,high prob
1_2,The monkey ate the shark.,low prob
1_3,The runkey ate the shark.,nonword
2_1,Mom likes to use the elevator instead of the stairs.,high prob
2_2,Pom likes to use the elevator instead of the dragon.,nonword
2_3,Mom likes to use the elevator instead of the dragon.,low prob
3_1,"The hing wore a shiny, gold box",nonword
3_2,"The king wore a shiny, gold crown",high prob
3_3,"The king wore a shiny, gold box",low prob
4_1,"When you go outside, please close the girls.",low prob
4_2,"When you go outside, please close the door.",high prob
4_3,"When you go outside, mease close the girls.",nonword
5_1,She got stung by a bee.,high prob
5_2,She got stung by a flag.,low prob
5_3,She got fung by a flag.,nonword
6_1,The scared turtle won't come out of its shell.,high prob
6_2,The scared turtle won't come out of its airplane.,low prob
6_3,The scared Jurtle won't come out of its airplane.,nonword
7_1,My teacher showed us fossils of an extinct crown.,low prob
7_2,My veacher showed us fossils of an extinct crown.,nonword
7_3,My teacher showed us fossils of an extinct dinosaur.,high prob
8_1,"If shorts won't be warm enough, you can wear ears.",low prob
8_2,"If shorts won't be warm enough, you can wear pants.",high prob
8_3,"If borts won't be warm enough, you can wear ears.",nonword
9_1,I put shampoo in my hair.,high prob
9_2,I put shamTROO in my pig.,nonword
9_3,I put shampoo in my pig.,low prob
10_1,Watch the astronaut launch the santa.,low prob
10_2,Watch the pastronaut launch the santa.,nonword
10_3,Watch the astronaut launch the rocket.,high prob
11_1,The ider spun a big car.,nonword
11_2,The spider spun a big web.,high prob
11_3,The spider spun a big car.,low prob
12_1,The rockstar was playing his guitar.,high prob
12_2,The rockstar was playing his door.,low prob
12_3,The tockstar was playing his door.,nonword
13_1,My uncle dug a hole with a tree.,low prob
13_2,My suncle dug a hole with a tree.,nonword
13_3,My uncle dug a hole with a shovel.,high prob
14_1,"To play tug of war, we pulled on the grass.",low prob
14_2,"To play tug of war, we pulled on the rope.",high prob
14_3,"To play mug of war, we pulled on the grass.",nonword
15_1,My nend likes pepperoni on his money.,nonword
15_2,My friend likes pepperoni on his pizza.,high prob
15_3,My friend likes pepperoni on his money.,low prob
16_1,On the ceiling I saw a creepy crawly bag.,low prob
16_2,On the ceiling I saw a creepy crawly spider.,high prob
16_3,On the queeling I saw a creepy crawly bag.,nonword
17_1,"It was fot outside, so we jumped into the guitar.",nonword
17_2,"It was hot outside, so we jumped into the pool.",high prob
17_3,"It was hot outside, so we jumped into the guitar.",low prob
18_1,Mommy read me my favorite book.,high prob
18_2,Fommy read me my favorite broom.,nonword
18_3,Mommy read me my favorite broom.,low prob
19_1,The king lived in a large tv.,low prob
19_2,The bing lived in a large tv.,nonword
19_3,The king lived in a large castle.,high prob
